 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,174349226,167533,969212,147152,286875,340367,134437,128447,183806,330039,104715,167626,212548,87071,222384,746649,244515,64835,388573,128860,141328
aeroplane,43807,1866658,0,0,13342,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
bicycle,41661,24,751457,0,0,0,0,1165,11,0,0,0,0,0,4775,13744,0,0,0,0,0
bird,120150,0,1,2016232,40,0,58,0,2003,0,1606,0,8212,304,0,3279,0,0,0,0,0
boat,171959,19160,61,0,1136010,0,0,47,0,158,0,5118,0,0,0,4803,8164,0,0,3173,0
bottle,122965,0,1619,0,6224,1752368,635,86,15,0,0,6123,5398,0,0,25739,0,0,605,0,0
bus,106248,1766,0,0,0,0,4205574,3208,0,0,0,0,0,0,0,3956,0,0,0,0,0
car,223299,1809,9202,0,3781,3396,4220,3309624,0,0,184,0,45,0,4234,7418,0,0,0,26242,0
cat,93540,0,0,0,0,47,0,0,5560416,1753,0,0,52470,0,0,12384,0,0,341,0,0
chair,749006,0,4,0,0,0,0,464,5088,1064982,0,28178,3943,0,1430,38605,2837,0,218883,0,773
cow,67124,0,0,1307,0,0,0,4228,0,0,2838431,0,23270,24960,0,7524,0,0,0,0,0
diningtable,1181002,0,0,0,0,4221,0,0,25,69535,0,1570447,25,0,0,28227,7155,0,1082,0,3031
dog,179045,0,0,3002,0,0,0,1330,96263,216,0,0,4731899,2028,390,11573,0,6791,1852,0,0
horse,103281,0,0,0,43,0,0,0,9682,0,22903,0,2050,2475811,0,27949,0,218,0,0,0
motorbike,73570,0,8611,0,7237,4372,0,14435,0,0,0,0,0,0,2454999,24216,0,0,0,0,0
person,741007,4516,40440,1986,8205,9520,12197,17845,3341,15122,8864,11621,71060,25258,79555,11895899,2354,773,42288,6347,1425
pottedplant,248913,0,858,1814,0,0,0,10,14,330,0,12630,0,0,0,1114,968327,0,552,0,0
sheep,110630,0,0,0,0,0,0,0,46990,0,20979,0,14120,0,163,596,0,1739327,0,0,0
sofa,1251393,0,0,0,0,25,0,0,1799,134956,0,2946,2566,0,28543,66019,1427,0,1989561,0,0
train,302454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728,0,0,0,3614823,0
tvmonitor,330011,0,0,0,0,0,0,0,0,11793,0,0,0,0,0,1793,0,0,0,0,1428157
